Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,User_Count
Iron Storm,1995.0,0.0,0.0,0.34,0.0,0.34,24.0
Battalion Wars 2,2007.0,0.22,0.02,0.08,0.02,0.34,45.0
MotorStorm: Arctic Edge,2009.0,0.07,0.03,0.0,0.25,0.34,6.0
The Fairly Odd Parents: Shadow Showdown,2004.0,0.25,0.09,0.0,0.01,0.34,24.0
Marvel Super Heroes,1997.0,0.19,0.13,0.0,0.02,0.34,24.0
Super Bust-A-Move,2000.0,0.17,0.13,0.0,0.04,0.34,24.0
Hitman: Contracts,2004.0,0.26,0.07,0.0,0.01,0.34,15.0
Supreme Commander 2,2010.0,0.23,0.09,0.0,0.03,0.34,23.0
Thunderstrike: Operation Phoenix,2001.0,0.17,0.13,0.0,0.04,0.34,7.0
Frostbite,1983.0,0.32,0.02,0.0,0.0,0.34,24.0
Alien's Return,1982.0,0.32,0.02,0.0,0.0,0.34,24.0
Mario & Sonic at the Rio 2016 Olympic Games,2016.0,0.07,0.14,0.11,0.02,0.34,24.0
Avatar: The Last Airbender - The Burning Earth,2007.0,0.31,0.0,0.0,0.03,0.34,24.0
Racquet Sports,2010.0,0.11,0.17,0.0,0.06,0.34,8.0
Company of Heroes 2,2013.0,0.06,0.25,0.0,0.04,0.34,6157.0
Trauma Center: Second Opinion,2006.0,0.28,0.01,0.03,0.03,0.34,47.0
DanceDanceRevolution,2010.0,0.28,0.04,0.0,0.02,0.34,24.0
WWE Day of Reckoning 2,2005.0,0.26,0.07,0.0,0.01,0.34,263.0
NBA 2K12,2011.0,0.29,0.03,0.0,0.02,0.34,6.0
The Urbz: Sims in the City,2004.0,0.22,0.11,0.0,0.01,0.34,10.0
Fantastic Voyage,1981.0,0.32,0.02,0.0,0.0,0.34,24.0
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,2010.0,0.09,0.19,0.0,0.07,0.34,24.0
Night Warriors: Darkstalkers' Revenge,1995.0,0.0,0.0,0.34,0.0,0.34,24.0
Rayman Legends,2014.0,0.13,0.18,0.0,0.03,0.34,218.0
SpongeBob SquarePants: The Yellow Avenger,2005.0,0.31,0.0,0.0,0.02,0.34,10.0
Monopoly,2008.0,0.25,0.05,0.0,0.04,0.34,13.0
SimCity Creator,2008.0,0.29,0.02,0.0,0.03,0.34,8.0
Off Road Challenge,1998.0,0.27,0.06,0.0,0.0,0.34,24.0
Tenchu Z,2006.0,0.27,0.02,0.02,0.03,0.34,58.0
Bank Heist,1982.0,0.32,0.02,0.0,0.0,0.34,24.0
Conan,2007.0,0.13,0.15,0.0,0.05,0.34,40.0
Backstreet Billiards,1998.0,0.19,0.13,0.0,0.02,0.34,24.0
Carnival,1981.0,0.32,0.02,0.0,0.0,0.34,24.0
Leisure Suit Larry: Magna Cum Laude,2004.0,0.17,0.13,0.0,0.04,0.34,18.0
MVP 06 NCAA Baseball,2006.0,0.25,0.07,0.0,0.01,0.34,17.0
Naruto Shippuden: Ultimate Ninja Impact,2011.0,0.09,0.07,0.15,0.04,0.34,26.0
Momotarou Dentetsu DS: Tokyo & Japan,2007.0,0.0,0.0,0.34,0.0,0.34,24.0
Point Blank,1997.0,0.05,0.03,0.23,0.02,0.34,24.0
Disney Infinity 3.0,2015.0,0.2,0.11,0.0,0.03,0.34,24.0
Speed Racer: The Videogame,2008.0,0.28,0.04,0.0,0.03,0.34,24.0
F.E.A.R.,2006.0,0.28,0.03,0.0,0.03,0.34,131.0
Tiny Tank,1998.0,0.19,0.13,0.0,0.02,0.34,24.0
Yu-Gi-Oh! 5D's Tag Force 5,2010.0,0.13,0.04,0.14,0.03,0.34,24.0
Tom Clancy's Ghost Recon: Shadow Wars,2011.0,0.22,0.09,0.0,0.03,0.34,78.0
Smart Girl's Party Game,2008.0,0.31,0.0,0.0,0.02,0.34,24.0
Spy Hunter,2002.0,0.25,0.07,0.0,0.01,0.34,24.0
James Bond 007: Legends,2012.0,0.11,0.16,0.0,0.07,0.34,24.0
The Sims 3: Town Life Stuff,2011.0,0.11,0.17,0.0,0.05,0.34,14.0
Herbie: Fully Loaded,2005.0,0.24,0.09,0.0,0.01,0.34,4.0
Teenage Mutant Ninja Turtles,2003.0,0.26,0.07,0.0,0.01,0.34,8.0
Kameo: Elements of Power,2005.0,0.28,0.03,0.0,0.03,0.34,107.0
Football Manager Handheld 2008,2007.0,0.0,0.33,0.0,0.0,0.34,24.0
Dynasty Warriors 6 Empires,2009.0,0.14,0.03,0.15,0.02,0.34,26.0
The Shoot,2010.0,0.13,0.15,0.01,0.05,0.34,11.0
Disney Sing It: Pop Hits,2009.0,0.1,0.02,0.0,0.22,0.34,24.0
Dead or Alive 5,2015.0,0.09,0.13,0.08,0.04,0.34,24.0
My Baby Boy,2008.0,0.3,0.01,0.0,0.03,0.34,24.0
Puzzle Quest: Challenge of the Warlords,2007.0,0.28,0.0,0.03,0.02,0.34,32.0
Dynasty Warriors: Gundam 2,2008.0,0.04,0.03,0.25,0.01,0.34,8.0
Star Ocean: Second Evolution,2008.0,0.14,0.01,0.16,0.02,0.34,26.0
Imagine: Movie Star,2008.0,0.31,0.0,0.0,0.03,0.34,24.0
Fade to Black,1996.0,0.19,0.13,0.0,0.02,0.34,24.0
MXRider,2001.0,0.16,0.13,0.0,0.04,0.34,6.0
Disney Magic World 2,2015.0,0.02,0.11,0.19,0.01,0.34,24.0
Delta Force: Black Hawk Down,2005.0,0.25,0.07,0.0,0.01,0.34,19.0
Pirates of the Caribbean: At World's End,2007.0,0.29,0.02,0.0,0.03,0.34,21.0
Angry Birds Star Wars,2013.0,0.15,0.15,0.0,0.03,0.34,8.0
World Championship Poker 2: Featuring Howard Lederer,2005.0,0.16,0.13,0.0,0.04,0.34,24.0
The Eye of Judgment,2007.0,0.28,0.0,0.02,0.03,0.33,51.0
Sengoku Musou 3 Z,2011.0,0.0,0.0,0.33,0.0,0.33,24.0
Tom Clancy's Ghost Recon Advanced Warfighter,2006.0,0.21,0.11,0.0,0.01,0.33,27.0
Iron Man 2,2010.0,0.14,0.16,0.0,0.03,0.33,24.0
Tokyo Highway Battle,1996.0,0.06,0.04,0.21,0.02,0.33,24.0
NHL 09,2008.0,0.29,0.02,0.0,0.03,0.33,41.0
World of Final Fantasy,2016.0,0.08,0.14,0.08,0.04,0.33,222.0
Beyond Good & Evil,2003.0,0.16,0.13,0.0,0.04,0.33,24.0
Banjo-Kazooie: Grunty's Revenge,2003.0,0.24,0.09,0.0,0.01,0.33,18.0
Bomberman World,1998.0,0.06,0.04,0.22,0.02,0.33,24.0
Bejeweled 3,2008.0,0.29,0.02,0.0,0.02,0.33,24.0
NHL 17,2016.0,0.19,0.08,0.0,0.06,0.33,67.0
Mega Man ZX Advent,2007.0,0.22,0.0,0.09,0.02,0.33,32.0
Transformers: Revenge of the Fallen (DS Versions),2009.0,0.17,0.13,0.0,0.03,0.33,24.0
NCAA Basketball 10,2009.0,0.31,0.0,0.0,0.03,0.33,6.0
Star Ocean 5: Integrity and Faithlessness,2016.0,0.07,0.09,0.15,0.03,0.33,24.0
Jeanne d'Arc,2006.0,0.21,0.0,0.1,0.02,0.33,74.0
Deathtrap Dungeon,1998.0,0.19,0.13,0.0,0.02,0.33,24.0
Tales of the World: Radiant Mythology 2,2009.0,0.0,0.0,0.33,0.0,0.33,24.0
Night at the Museum: Battle of the Smithsonian,2009.0,0.12,0.18,0.0,0.04,0.33,24.0
Harry Potter and the Deathly Hallows - Part 2,2011.0,0.19,0.11,0.0,0.03,0.33,24.0
Avatar: The Last Airbender,2006.0,0.3,0.01,0.0,0.03,0.33,7.0
Ape Escape Academy,2004.0,0.13,0.15,0.0,0.05,0.33,4.0
WWE Wrestlemania XIX,2003.0,0.26,0.07,0.0,0.01,0.33,47.0
The Sims 2,2005.0,0.26,0.07,0.0,0.01,0.33,8.0
Hulk,2003.0,0.25,0.07,0.0,0.01,0.33,9.0
Untold Legends: The Warriors Code,2006.0,0.14,0.12,0.0,0.08,0.33,28.0
Klonoa 2: Lunatea's Veil,2001.0,0.12,0.1,0.08,0.03,0.33,72.0
Deus Ex: Invisible War,2003.0,0.25,0.07,0.0,0.01,0.33,37.0
Disney's Treasure Planet,2002.0,0.16,0.13,0.0,0.04,0.33,24.0
NASCAR Thunder 2002,2001.0,0.25,0.07,0.0,0.01,0.33,24.0
The King of Fighters XIII,2011.0,0.23,0.06,0.01,0.03,0.33,51.0
BeatMania Append GottaMix,1999.0,0.0,0.0,0.31,0.02,0.33,24.0
Tak 2: The Staff of Dreams,2004.0,0.26,0.07,0.0,0.01,0.33,8.0
Fracture,2008.0,0.15,0.14,0.0,0.04,0.33,45.0
Ninja Blade,2009.0,0.14,0.14,0.02,0.03,0.33,55.0
Bookworm,2009.0,0.3,0.01,0.0,0.02,0.33,24.0
LEGO Batman 2: DC Super Heroes,2012.0,0.16,0.11,0.0,0.06,0.33,46.0
Bee Movie Game,2007.0,0.3,0.01,0.0,0.03,0.33,7.0
Kelly Slater's Pro Surfer,2002.0,0.16,0.13,0.0,0.04,0.33,15.0
Sniper: Ghost Warrior 2,2013.0,0.05,0.18,0.03,0.07,0.33,82.0
Shrek SuperSlam,2005.0,0.24,0.09,0.0,0.01,0.33,24.0
Legends of Wrestling II,2002.0,0.16,0.13,0.0,0.04,0.33,6.0
World Stadium 3,1999.0,0.0,0.0,0.31,0.02,0.33,24.0
LEGO Pirates of the Caribbean: The Video Game,2011.0,0.12,0.13,0.0,0.08,0.33,24.0
Extra Bases,1990.0,0.0,0.0,0.33,0.0,0.33,24.0
Super Power League 2,1994.0,0.0,0.0,0.33,0.0,0.33,24.0
Virtua Tennis 2009,2009.0,0.12,0.18,0.0,0.03,0.33,15.0
Street Fighter Alpha 3 MAX,2006.0,0.27,0.01,0.02,0.03,0.33,27.0
MLB 09: The Show,2009.0,0.16,0.13,0.0,0.04,0.33,12.0
Cool Boarders 2001,2001.0,0.16,0.13,0.0,0.04,0.33,24.0
Hell's Kitchen: The Game,2008.0,0.3,0.0,0.0,0.03,0.33,24.0
Classic NES Series: Castlevania,2004.0,0.17,0.06,0.09,0.01,0.33,12.0
Scooby-Doo! First Frights,2009.0,0.14,0.03,0.0,0.16,0.33,24.0
Fight Night Round 3,2006.0,0.26,0.06,0.0,0.01,0.33,21.0
GT Advance Championship Racing,2001.0,0.24,0.09,0.0,0.01,0.33,24.0
Way of the Samurai 2,2003.0,0.05,0.04,0.23,0.01,0.33,24.0
Planet Puzzle League,2007.0,0.14,0.01,0.16,0.01,0.33,15.0
BattleTanx,1998.0,0.26,0.06,0.0,0.0,0.33,24.0
Custom Robo,2008.0,0.0,0.0,0.29,0.04,0.33,24.0
Naruto: Rise of a Ninja,2007.0,0.29,0.01,0.0,0.03,0.33,84.0
Cabela's Dangerous Hunts 2011,2010.0,0.26,0.04,0.0,0.03,0.33,9.0
Hatsune Miku: Project Diva Extend,2011.0,0.0,0.0,0.33,0.0,0.33,24.0
Pitfall 3D: Beyond the Jungle,1998.0,0.18,0.12,0.0,0.02,0.33,24.0
Disgaea 2: Cursed Memories,2006.0,0.09,0.07,0.15,0.02,0.33,42.0
Clock Tower 3,2002.0,0.1,0.08,0.12,0.03,0.33,38.0
Battle Dodge Ball,1991.0,0.0,0.0,0.33,0.0,0.33,24.0
Etrian Odyssey,2007.0,0.19,0.02,0.09,0.02,0.33,37.0
Call Of Duty 2: Big Red One,2005.0,0.25,0.07,0.0,0.01,0.33,14.0
Dragon Ball Z: Extreme Butoden,2015.0,0.12,0.03,0.16,0.02,0.33,32.0
Night at the Museum: Battle of the Smithsonian,2009.0,0.17,0.13,0.0,0.03,0.33,24.0
Disgaea: Hour of Darkness,2003.0,0.16,0.13,0.0,0.04,0.33,74.0
NeoGeo Battle Coliseum,2005.0,0.16,0.13,0.0,0.04,0.33,6.0
Resonance of Fate,2010.0,0.12,0.13,0.06,0.03,0.33,96.0
Harry Potter and the Deathly Hallows - Part 2,2011.0,0.17,0.13,0.0,0.03,0.33,5.0
We Sing Deutsche Hits,2011.0,0.0,0.29,0.0,0.04,0.33,24.0
SpongeBob SquarePants: Creature from the Krusty Krab,2006.0,0.25,0.07,0.0,0.01,0.33,12.0
MLB 08: The Show,2008.0,0.3,0.0,0.0,0.02,0.33,12.0
Parodius,1994.0,0.0,0.0,0.31,0.02,0.33,24.0
The X-Factor,2010.0,0.0,0.28,0.0,0.04,0.33,24.0
Spy Kids 3-D: Game Over,2003.0,0.24,0.09,0.0,0.01,0.33,6.0
Sakura Wars 3: Paris wa Moeteiru ka,2001.0,0.0,0.0,0.33,0.0,0.33,24.0
Capcom Classics Collection Reloaded,2006.0,0.26,0.0,0.03,0.03,0.33,24.0
NCAA GameBreaker 2001,2000.0,0.18,0.12,0.0,0.02,0.33,24.0
Power Rangers: Ninja Storm,2003.0,0.24,0.09,0.0,0.01,0.33,6.0
Naruto: Gekito Ninja Taisen! 4,2005.0,0.0,0.0,0.32,0.01,0.33,24.0
Medal of Honor: Warfighter,2012.0,0.14,0.15,0.0,0.04,0.33,599.0
Kidou Senshi Gundam F91: Formula Senki 0122,1991.0,0.0,0.0,0.33,0.0,0.33,24.0
MVP Baseball 2005,2005.0,0.25,0.07,0.0,0.01,0.33,16.0
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,2007.0,0.0,0.0,0.33,0.0,0.33,24.0
SSX Blur,2007.0,0.29,0.01,0.0,0.03,0.33,60.0
DX Game of Life 2,1997.0,0.0,0.0,0.31,0.02,0.33,24.0
Danganronpa: Trigger Happy Havoc,2013.0,0.09,0.05,0.15,0.04,0.33,235.0
NBA Live 96,1996.0,0.16,0.11,0.04,0.02,0.33,24.0
Harry Potter and the Half-Blood Prince,2009.0,0.15,0.12,0.0,0.05,0.33,17.0
Alien: Isolation,2014.0,0.12,0.16,0.0,0.05,0.33,111.0
Samurai Warriors 2: Xtreme Legends (JP sales),2007.0,0.0,0.0,0.33,0.0,0.33,24.0
Teen Titans,2006.0,0.25,0.07,0.0,0.01,0.33,11.0
Def Jam Rapstar,2010.0,0.29,0.02,0.0,0.02,0.33,24.0
MX vs. ATV Untamed,2008.0,0.28,0.02,0.0,0.02,0.33,9.0
Frogger II: Threeedeep!,1983.0,0.31,0.02,0.0,0.0,0.33,24.0
Binary Domain,2012.0,0.09,0.07,0.14,0.03,0.33,179.0
NBA Live 06,2005.0,0.25,0.07,0.0,0.01,0.33,24.0
Fireball,1981.0,0.3,0.02,0.0,0.0,0.33,24.0
Dr. Mario / Puzzle League,2005.0,0.12,0.04,0.16,0.01,0.33,24.0
Family Party: 90 Great Games Party Pack,2010.0,0.31,0.0,0.0,0.02,0.33,24.0
DECA Sports Freedom,2010.0,0.27,0.04,0.0,0.02,0.33,9.0
Shin Nippon Pro Wrestling: Toukon Retsuden,1995.0,0.0,0.0,0.3,0.02,0.33,24.0
NBA 2K10,2009.0,0.3,0.0,0.0,0.03,0.33,13.0
Major League Baseball 2K6,2006.0,0.24,0.07,0.0,0.01,0.33,12.0
Golden Axe: Beast Rider,2008.0,0.19,0.11,0.0,0.03,0.33,33.0
Pinball Hall of Fame: The Gottlieb Collection,2004.0,0.16,0.12,0.0,0.04,0.33,24.0
EA Playground,2007.0,0.29,0.01,0.0,0.03,0.33,13.0
Buzz! The Ultimate Music Quiz,2010.0,0.0,0.25,0.0,0.08,0.33,24.0
Discovery Kids: Puppy Playtime,2009.0,0.3,0.0,0.0,0.02,0.33,24.0
The Witcher: Enhanced Edition,2008.0,0.32,0.01,0.0,0.0,0.32,1660.0
Teenage Mutant Ninja Turtles 2: Battle Nexus,2004.0,0.23,0.09,0.0,0.01,0.32,24.0
Nicktoons: Movin',2004.0,0.16,0.12,0.0,0.04,0.32,24.0
Mystery Case Files: The Malgrave Incident,2011.0,0.17,0.13,0.0,0.03,0.32,5.0
Chicken Riot,2010.0,0.14,0.15,0.0,0.03,0.32,24.0
One Piece: Romance Dawn - Bouken no Yoake,2012.0,0.0,0.0,0.32,0.0,0.32,24.0
Might & Magic Heroes VI,2011.0,0.13,0.14,0.0,0.05,0.32,24.0
Iron Man 2,2010.0,0.15,0.15,0.0,0.03,0.32,12.0
SWAT: Global Strike Team,2003.0,0.16,0.12,0.0,0.04,0.32,16.0
NCAA Basketball 10,2009.0,0.3,0.0,0.0,0.02,0.32,24.0
Championship Bass,1999.0,0.18,0.12,0.0,0.02,0.32,24.0
The Adventures of Tintin: The Game,2011.0,0.12,0.16,0.0,0.04,0.32,6.0
Battlestations: Pacific,2009.0,0.17,0.11,0.01,0.03,0.32,41.0
Elebits,2006.0,0.22,0.01,0.08,0.02,0.32,33.0
Style Lab: Jewelry Design,2009.0,0.3,0.0,0.0,0.02,0.32,24.0
Def Jam Rapstar,2010.0,0.25,0.04,0.0,0.03,0.32,4.0
Hatsune Miku: Project Mirai DX,2015.0,0.16,0.04,0.1,0.02,0.32,71.0
Just Dance 2016,2015.0,0.25,0.04,0.0,0.03,0.32,18.0
Golden Axe: Beast Rider,2008.0,0.13,0.14,0.0,0.06,0.32,23.0
Dead Space 2,2011.0,0.13,0.15,0.0,0.04,0.32,974.0
NHL Breakaway 98,1998.0,0.3,0.02,0.0,0.0,0.32,24.0
Momotarou Dentetsu 20-Shuunen,2008.0,0.0,0.0,0.32,0.0,0.32,24.0
Bratz: Girlz Really Rock,2008.0,0.18,0.11,0.0,0.03,0.32,24.0
Minute to Win It,2011.0,0.3,0.0,0.0,0.02,0.32,24.0
Kinetica,2001.0,0.16,0.12,0.0,0.04,0.32,21.0
The Black Eyed Peas Experience,2011.0,0.2,0.1,0.0,0.03,0.32,8.0
NBA Street V3,2005.0,0.28,0.03,0.0,0.01,0.32,10.0
Bust-A-Move '99,1997.0,0.18,0.12,0.0,0.02,0.32,24.0
Dragon Quest Monsters 1·2,2002.0,0.0,0.0,0.3,0.02,0.32,24.0
Marvel: Ultimate Alliance 2,2009.0,0.25,0.05,0.0,0.03,0.32,16.0
Remember Me,2013.0,0.1,0.17,0.0,0.06,0.32,424.0
Silent Hill: Downpour,2012.0,0.22,0.08,0.0,0.02,0.32,269.0
OverBlood,1996.0,0.05,0.04,0.21,0.02,0.32,24.0
Dead Rising 2: Off the Record,2011.0,0.11,0.08,0.1,0.03,0.32,35.0
ESPN X-Games Pro Boarder,1997.0,0.18,0.12,0.0,0.02,0.32,24.0
Dragon Ball: XenoVerse,2015.0,0.18,0.11,0.0,0.03,0.32,128.0
Eternal Sonata,2007.0,0.19,0.04,0.08,0.02,0.32,97.0
Harvest Moon: Back to Nature,1999.0,0.11,0.07,0.12,0.02,0.32,78.0
Dead or Alive 5,2012.0,0.19,0.08,0.03,0.03,0.32,95.0
Naruto: Ultimate Ninja (JP sales),2003.0,0.0,0.0,0.32,0.0,0.32,24.0
Final Fantasy XI,2008.0,0.08,0.06,0.15,0.02,0.32,66.0
Dragon Ball Heroes: Ultimate Mission 2 ,2014.0,0.0,0.0,0.32,0.0,0.32,24.0
Overlord II,2009.0,0.15,0.14,0.0,0.03,0.32,46.0
Madden NFL 09,2008.0,0.3,0.0,0.0,0.02,0.32,4.0
Dance Dance Revolution Universe,2007.0,0.3,0.0,0.0,0.02,0.32,5.0
"Go, Diego, Go!: Great Dinosaur Rescue",2008.0,0.16,0.12,0.0,0.04,0.32,24.0
Batman: Arkham Asylum,2009.0,0.0,0.28,0.0,0.05,0.32,1736.0
"Warhammer 40,000: Squad Command",2007.0,0.11,0.13,0.0,0.08,0.32,26.0
Darkwatch,2005.0,0.16,0.12,0.0,0.04,0.32,42.0
Tony Hawk's American Wasteland,2005.0,0.28,0.01,0.0,0.03,0.32,21.0
Beautiful Katamari,2007.0,0.14,0.02,0.15,0.02,0.32,40.0
Ben 10 Ultimate Alien: Cosmic Destruction,2010.0,0.22,0.08,0.0,0.03,0.32,24.0
Pony Friends 2,2009.0,0.21,0.09,0.0,0.03,0.32,24.0
My Baby: First Steps,2009.0,0.27,0.03,0.0,0.02,0.32,24.0
Prince of Persia: The Sands of Time,2003.0,0.25,0.06,0.0,0.01,0.32,41.0
Harry Potter and the Deathly Hallows - Part 2,2011.0,0.14,0.13,0.0,0.05,0.32,27.0
Sky Odyssey,2000.0,0.16,0.12,0.0,0.04,0.32,9.0
Nagano Winter Olympics 98,1997.0,0.15,0.04,0.13,0.0,0.32,24.0
Rayman 2: The Great Escape,2000.0,0.18,0.12,0.0,0.02,0.32,24.0
Just Dance 2016,2015.0,0.23,0.05,0.0,0.03,0.32,5.0
Kirby's Block Ball,1995.0,0.0,0.0,0.32,0.0,0.32,24.0
World of Warcraft: Legion,2016.0,0.13,0.16,0.0,0.03,0.32,535.0
Hatsune Miku: Project Diva F 2nd,2014.0,0.08,0.05,0.16,0.04,0.32,69.0
Bleach: Shattered Blade,2006.0,0.21,0.01,0.08,0.02,0.32,24.0
FIFA Street 3,2008.0,0.08,0.18,0.0,0.06,0.32,19.0
Fortress,2001.0,0.23,0.08,0.0,0.01,0.32,24.0
Disney Fairies: Tinker Bell and the Great Fairy Rescue,2010.0,0.17,0.12,0.0,0.03,0.32,24.0
FIFA 2001 Major League Soccer,2000.0,0.18,0.12,0.0,0.02,0.32,5.0
Operation Flashpoint: Red River,2011.0,0.06,0.14,0.07,0.05,0.32,18.0
Power Rangers Samurai,2011.0,0.27,0.02,0.0,0.02,0.32,24.0
Karaoke Revolution Presents American Idol Encore 2,2008.0,0.3,0.0,0.0,0.02,0.32,24.0
DiRT 2,2009.0,0.09,0.15,0.0,0.08,0.32,10.0
Rally Cross,1997.0,0.18,0.12,0.0,0.02,0.32,24.0
Frogger's Adventures: The Rescue,2003.0,0.16,0.12,0.0,0.04,0.32,6.0
Silent Hill HD Collection,2012.0,0.15,0.1,0.03,0.04,0.32,136.0
Extreme Pinball,1995.0,0.18,0.12,0.0,0.02,0.32,24.0
Singularity,2008.0,0.24,0.05,0.0,0.02,0.32,169.0
Karaoke Revolution Volume 3,2004.0,0.16,0.12,0.0,0.04,0.32,10.0
Vin Diesel: Wheelman,2009.0,0.12,0.14,0.0,0.05,0.32,24.0
Army of Two: The 40th Day,2010.0,0.12,0.13,0.0,0.08,0.32,32.0
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,2001.0,0.0,0.0,0.32,0.0,0.32,24.0
Street Fighter Alpha 2,1995.0,0.0,0.0,0.32,0.0,0.32,24.0
Persona 4: Dancing All Night,2015.0,0.09,0.04,0.15,0.04,0.32,83.0
"Carnival Games: Monkey See, Monkey Do!",2011.0,0.14,0.15,0.0,0.03,0.32,24.0
No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,1999.0,0.0,0.0,0.3,0.02,0.32,24.0
Cartoon Network Collection: Game Boy Advance Video Platinum Edition,2005.0,0.23,0.08,0.0,0.01,0.32,24.0
Ultimate Fighting Championship: Throwdown,2002.0,0.16,0.12,0.0,0.04,0.32,8.0
Wipeout 2,2011.0,0.3,0.0,0.0,0.02,0.32,24.0
SpongeBob SquarePants: Double Pack,2005.0,0.23,0.08,0.0,0.01,0.32,24.0
Tetris 2 + Bombliss,1991.0,0.0,0.0,0.32,0.0,0.32,24.0
Disney's Extreme Skate Adventure,2003.0,0.16,0.12,0.0,0.04,0.32,12.0
Rock Band Country Track Pack,2009.0,0.16,0.12,0.0,0.04,0.32,24.0
Prey,2006.0,0.27,0.03,0.0,0.03,0.32,117.0
"Ed, Edd n Eddy: Jawbreakers!",2002.0,0.23,0.08,0.0,0.01,0.32,24.0
Dragster,2008.0,0.3,0.02,0.0,0.0,0.32,24.0
Frankenstein's Monster,1982.0,0.3,0.02,0.0,0.0,0.32,24.0
Shaun White Snowboarding,2008.0,0.26,0.03,0.0,0.03,0.32,4.0
Riven: The Sequel to Myst,1997.0,0.18,0.12,0.0,0.02,0.32,24.0
Folklore,2007.0,0.2,0.04,0.05,0.03,0.32,145.0
Derby Stallion DS,2008.0,0.0,0.0,0.32,0.0,0.32,24.0
Murdered: Soul Suspect,2014.0,0.09,0.16,0.02,0.05,0.32,310.0
The Darkness II,2012.0,0.14,0.13,0.0,0.05,0.32,127.0
NBA 2K3,2002.0,0.24,0.07,0.0,0.01,0.32,9.0
Dragon Quest Monsters: Battle Road Victory,2010.0,0.0,0.0,0.32,0.0,0.32,24.0
Shin Momotarou Densetsu,1993.0,0.0,0.0,0.32,0.0,0.32,24.0
From TV Animation One Piece: Grand Battle! 3,2003.0,0.0,0.0,0.32,0.0,0.32,24.0
Sega Smash Pack,2002.0,0.23,0.08,0.0,0.01,0.32,24.0
All-Star Baseball 2005,2008.0,0.16,0.12,0.0,0.04,0.32,21.0
The Conveni: Ano Machi wo Dokusen Seyo,1997.0,0.0,0.0,0.3,0.02,0.32,24.0
Shin Super Robot Taisen Special Disk,1997.0,0.0,0.0,0.3,0.02,0.32,24.0
Live A Live,1994.0,0.0,0.0,0.32,0.0,0.32,24.0
NFL Fever 2004,2003.0,0.24,0.07,0.0,0.01,0.32,16.0
Madden NFL 2002,2001.0,0.23,0.08,0.0,0.01,0.32,24.0
Bigfoot: Collision Course,2008.0,0.3,0.0,0.0,0.02,0.32,24.0
FIFA Street 3,2008.0,0.14,0.14,0.0,0.03,0.32,18.0
Cabela's Dangerous Hunts 2011,2010.0,0.28,0.01,0.0,0.02,0.32,24.0
UEFA Euro 2008 Austria-Switzerland,2008.0,0.03,0.0,0.0,0.28,0.32,24.0
Test Drive Unlimited,2006.0,0.23,0.04,0.02,0.02,0.32,86.0
Marvel Nemesis: Rise of the Imperfects,2005.0,0.29,0.0,0.0,0.02,0.32,30.0
The Biggest Loser,2009.0,0.18,0.11,0.0,0.03,0.32,24.0
Power Rangers Samurai,2011.0,0.26,0.04,0.0,0.02,0.32,24.0
Kingdom Under Fire: The Crusaders,2004.0,0.24,0.07,0.0,0.01,0.32,31.0
4x4 Evolution,2001.0,0.16,0.12,0.0,0.04,0.32,24.0
Clive Barker's Jericho,2007.0,0.28,0.01,0.0,0.02,0.32,70.0
Rise of the Tomb Raider,2015.0,0.18,0.11,0.0,0.03,0.32,178.0
Momotarou Dentetsu Happy,1996.0,0.0,0.0,0.32,0.0,0.32,24.0
Power Rangers: Time Force,2001.0,0.18,0.12,0.0,0.02,0.32,24.0
Romance of the Three Kingdoms VII,2000.0,0.08,0.06,0.16,0.02,0.32,11.0
Goosebumps HorrorLand,2008.0,0.29,0.0,0.0,0.02,0.32,24.0
Fable III,2011.0,0.1,0.17,0.0,0.05,0.32,555.0
Littlest Pet Shop: City Friends,2009.0,0.29,0.0,0.0,0.02,0.32,24.0
"Monsters, Inc.",2002.0,0.15,0.12,0.0,0.04,0.32,10.0
DJ Hero,2009.0,0.1,0.02,0.0,0.2,0.32,5.0
Lord of Arcana,2010.0,0.07,0.04,0.17,0.03,0.32,21.0
Phineas and Ferb: Across the 2nd Dimension,2011.0,0.15,0.11,0.0,0.05,0.32,9.0
Quiz Magic Academy DS,2008.0,0.0,0.0,0.32,0.0,0.32,24.0
Tekken 6,2009.0,0.15,0.03,0.1,0.03,0.32,68.0
Chicken Blaster,2009.0,0.29,0.0,0.0,0.02,0.32,24.0
Dynasty Warriors 4 Empires,2004.0,0.0,0.0,0.32,0.0,0.32,19.0
Shenmue II,2002.0,0.22,0.08,0.0,0.01,0.32,96.0
Crash of the Titans,2007.0,0.27,0.02,0.0,0.02,0.32,39.0
LEGO Marvel's Avengers,2016.0,0.18,0.11,0.0,0.03,0.32,6.0
Skylanders SWAP Force,2013.0,0.22,0.06,0.0,0.03,0.32,43.0
Heart of Darkness,1998.0,0.18,0.12,0.0,0.02,0.32,24.0
Rugby World Cup 2011,2011.0,0.0,0.24,0.0,0.07,0.32,7.0
